id,name
12985,Тичини П.
12986,Зимова горішня
12987,Зимова
12988,Загула Д.
12989,Тунельна
12990,Ланова
12991,Млинова
12993,Рільнича
12994,Малоголосківська
12995,Випасова
12997,На Нивах
12998,Орна
12999,Теслярська
13000,Буковинська
13001,Жнивна
13002,Щепова
13004,Під Голоском
13005,Липи Ю.
13022,Широка
13023,Гайова
13029,Висока
13033,Озерна
13034,Ясна
13035,Крута
13050,Піскова
13053,Вербова
13057,Ржегоржа Ф.
13060,Букова
13065,Польова
13066,Грушева
13068,Світла
13069,Журавлина
13074,Малинова
13075,Жасминова
13079,Ожинова
13083,Соснова
13085,Калинова
13090,Вишнева
13091,Яблунева
13092,Сливова
13093,Садова
13096,Івасюка В.
13104,Житня
13110,Лісна
13117,Ряснянська
13121,Могильницького А.
13122,Покутська
13125,Пачовського В.
13127,Сріблиста
13128,Райніса Я.
13129,Сеньковича Ф.
13130,Волошкова
13131,Топольна
13133,Гордієнка К.
13139,Рослинна
13140,Кругла
13142,Заозерна
13145,Приозерний Голоско СК
13148,Заозерний пров.4-й
13149,Інструментальна
13150,Паньківського С.
13151,Господарська
13152,Польна
13153,Льняна
13154,Селянська
13155,Кревецького
13156,Сорочинська
13157,Плугова
13160,Базарна
13161,Батуринська
13162,Водна
13163,Ветеранів
13165,Крехівська
13166,Щурата В.
13167,Леннона Дж.
13168,Лемківська
13170,Тесленка А.
13173,Сосюри В.
13174,Ставова
13175,Угнівська
13177,Доступна
13178,Бальзака О.
13179,Оглоблина О.
13180,Ткацька
13182,Баронча С.
13183,Реміснича
13184,Фіалкова
13185,Циганівка
13186,Підрічна
13187,Узбецька
13188,Купали Я.
13189,Корінна
13190,Половинна
13191,Дашкевича Р.
13192,Колодійська
13193,Весняна
13195,Городницька
13196,Стеблиста
13197,Сінна
13200,Квітова
13201,Східна
13203,Перекопська
13204,Молодіжна
13205,Гранична
13206,Черемхова
13207,Білоруська
13208,Алчевської Х.
13209,Ручай
13210,Струмок
13211,Тисова
13212,Пожежників
13213,Окуневського Т.
13215,Кедрова
13216,Горбкова
13217,Мови В.
13218,Поштова
13219,Зимова долішня
13220,Акацієва
13223,Дивізійна
13224,Холмська
13225,Петрицького А.
13226,Чубинського П.
13227,Величковського І.
13230,Горобинна
13231,Диктова
13233,Чугайстра
13234,Досвітня
13235,Холодна-бічна
13236,Нарбута Г.
13238,Агрусова
13239,Прихильна
13240,Біберовича І.
13241,Бузинова
13242,Резедова
13243,Лугова
13244,Вершницька
13245,Порічкова
13246,Нарцисова
13248,Парова
13249,Розлога
13250,Розсадна
13251,"ОК ""Любителі природи"""
13252,Барбарисова
13254,Локомотивець-1 СК
13291,Зелений Гай садовий кооператив урочище Клепарів
13292,Червона Рута садовий кооператив урочище Клепарів
13293,Діаманда Г.
13294,Дублянська
13295,Сміла
13296,Вилітна
13297,Нафтова
13298,Погідна
13299,Бобинського В.
13300,Зустрічна
13301,Равська
13303,Горіхова
13304,Підлісна
13308,"Голоско КСТ ""Голоско-фтизіатр"""
13310,Стеценка К.
13312,Фещенка-Чопівського І.
13313,Вільхова
13314,Осикова
13315,Коротка
13323,Нестора Літописця
13326,Долина КСТ
13327,Прилбицька
13331,"голоско СК""Алмаз-1"""
13333,Освіта садовий кооператив урочище Клепарів
13335,Червона Калина садовий кооператив урочище Клепарів
13338,"голоско СК""Барвінок"""
13341,"Голоско СГТ ""Лісова галявина"""
13344,Прокоповича І.
13347,Мирна
13348,Під Лісом СК
13349,Міжміськівець садовий кооператив урочище Клепарів
13350,Лотос-сад садовий кооператив урочище Клепарів
13352,"СГК ""Червона троянда"""
13353,Вогник-1 КСТ
13354,Золотий ранет садовий кооператив урочище Клепарів
13355,"СС ""Приборист"""
13356,Мічурінець СК
13357,Львівприлад садовий кооператив урочище Клепарів
13358,Енергетик-сад садовий кооператив урочище Клепарів
13360,Автобусник КСТ
13361,Поштовик садове товариство укрочище Клепарів
13362,Дружба КСТ
13363,Зоряна
13364,Ромашка КСТ
13365,Відпочинок КСТ
13366,Галич СК
13370,Україна садове товариство урочище Клепарів
13371,Польова Ромашка СК
13372,Львівський залізничник сад. кооп. урочище Клепарів
13373,Райдуга КСТ
13377,"СК ""Кооператор"""
13379,"ур. Клепарів СГК ""Мічуріна"""
13381,"КСТ ""Теплоенергетик"""
13383,Медик-1
13384,Будівельник-Сад
13385,Освітяни урочище Клепарів
13388,"СК ""Тиша"""
13390,
13391,"КСТ ""Здоров`я"""
13393,"ТС ""Здоров`я-3"""
13395,Голоско КСТ “Ветеран”
13396,"СК ""Під дубом"""
13399,"СТ ""Садівник"""
13400,Відпочинок садовий кооператив урочище Клепарів
13401,"СГК ""Львівський"""
13408,"СГК ""Квітка"""
13409,"КСТ ""Колос"""
13410,"СКВ ""Приозерне"""
13422,Над Ставом
13426,"Голоско КСТ ""Долина"""
13429,Енергетик-Сад
13435,Орлика П.
13436,"Голоско СГК ""Мічурінець-природоперетворювач"""
13437,"Голоско СК ""Сокіл"""
13438,Червона Троянда сад. кооп. урочище Клепарів
13440,"Голоско СТ ""Самоцвіти"""
13441,"""Червоної калини"" СГТ"
13523,Медової Печери
13524,Пасічна
13525,Шафарика П.
13526,Лисеницька
13527,Таджицька
13528,Голубця М.
13529,Ярошинської Є.
13530,Рильського М.
13534,Керченська
13535,Пекарська
13536,Гулака-Артемовського С.
13541,Сковороди Г.
13542,Таращанська
13547,Мечникова І.
13548,Кониського О.
13550,Розкіш
13551,Балкова
13552,Старознесенська
13553,Тершаковців
13554,Казахська
13555,Долішня
13556,Копальна
13558,Васильченка С.
13559,Банаха С.
13561,Миргородська
13562,Глинянський Тракт
13564,Бігова
13565,Гнатевича Б.
13567,Барвінських
13568,Збаразька
13570,Мучна
13574,Яловець
13576,Кордуби
13577,Рудакі А.
13578,Ігорева
13579,Малі Кривчиці
13580,Кривчицька Дорога
13581,Могили П.
13582,Милятинська
13585,Снігурівська
13592,Севастопольська
13593,Козацька
13596,Китайська
13597,Втіха
13599,Кошова
13600,Приязна
13601,Міжгірна
13602,Ніщинського П.
13603,Козика М.
13604,Котика Б.
13606,Колумба Х.
13607,Ніжинська
13611,Стрілецька
13613,Садівнича
13614,Потелицька
13615,Туган-Барановського М.
13617,Наступальна
13619,Вузька
13621,Яричівська
13622,Низова
13623,Ромоданівська
13626,Черемшини М.
13627,Поетична
13628,Курінна
13629,Табірна
13638,Романчука Ю.
13647,Бродівська
13648,Ярова
13649,Горівська
13650,Буська
13652,На Копані
13653,Прогулкова
13654,Карпанюків
13655,Россі К.
13656,Павлика М.
13657,Воробкевича С.
13659,Березова
13661,Зрубова
13663,Кутова
13664,На Сторожі
13666,Заклинських
13667,Бачинського Ю.
13669,Коцька
13670,Зборівська
13671,Поморянська
13672,Золочівська
13673,Винниківська
